450,absolution,joy,1
570,abundance,joy,1
580,abundant,joy,1
810,accolade,joy,1
840,accompaniment,joy,1
880,accomplish,joy,1
890,accomplished,joy,1
1180,achieve,joy,1
1190,achievement,joy,1
1390,acrobat,joy,1
1950,admirable,joy,1
1980,admiration,joy,1
2160,adorable,joy,1
2170,adoration,joy,1
2180,adore,joy,1
2250,advance,joy,1
2310,advent,joy,1
2460,advocacy,joy,1
2560,aesthetics,joy,1
2620,affection,joy,1
2770,affluence,joy,1
3740,alive,joy,1
3990,allure,joy,1
4070,aloha,joy,1
4310,amazingly,joy,1
4380,ambition,joy,1
4430,amen,joy,1
4510,amicable,joy,1
4570,amnesty,joy,1
4610,amour,joy,1
4730,amuse,joy,1
4740,amused,joy,1
4750,amusement,joy,1
4760,amusing,joy,1
5080,angel,joy,1
5090,angelic,joy,1
5210,animated,joy,1
6250,applause,joy,1
6410,appreciation,joy,1
6520,approve,joy,1
6910,ardent,joy,1
7380,art,joy,1
7700,aspiration,joy,1
7710,aspire,joy,1
7720,aspiring,joy,1
8180,astonishment,joy,1
8480,atone,joy,1
9010,auspicious,joy,1
9040,authentic,joy,1
9470,award,joy,1
9650,baby,joy,1
10140,balm,joy,1
10360,banquet,joy,1
10400,baptismal,joy,1
10830,basketball,joy,1
11100,beach,joy,1
11180,beam,joy,1
11190,beaming,joy,1
11320,beautification,joy,1
11330,beautiful,joy,1
11340,beautify,joy,1
11350,beauty,joy,1
11460,beer,joy,1
11510,befriend,joy,1
11890,benevolence,joy,1
11900,benign,joy,1
12090,betrothed,joy,1
12660,birth,joy,1
12670,birthday,joy,1
13090,bless,joy,1
13100,blessed,joy,1
13110,blessing,joy,1
13120,blessings,joy,1
13220,bliss,joy,1
13230,blissful,joy,1
13380,bloom,joy,1
13390,blossom,joy,1
13780,boisterous,joy,1
13890,bonanza,joy,1
13990,bonus,joy,1
14530,bountiful,joy,1
14540,bounty,joy,1
14550,bouquet,joy,1
15230,bridal,joy,1
15240,bride,joy,1
15250,bridegroom,joy,1
15260,bridesmaid,joy,1
15320,brighten,joy,1
15340,brilliant,joy,1
15630,brotherly,joy,1
15800,buddy,joy,1
16500,buss,joy,1
17060,calf,joy,1
17400,candid,joy,1
17880,captivate,joy,1
18220,carol,joy,1
18450,cash,joy,1
18800,cathedral,joy,1
19090,celebrated,joy,1
19100,celebrating,joy,1
19110,celebration,joy,1
19120,celebrity,joy,1
19130,celestial,joy,1
19440,ceremony,joy,1
19670,champion,joy,1
19780,chant,joy,1
19970,charitable,joy,1
19980,charity,joy,1
20000,charmed,joy,1
20260,cheer,joy,1
20270,cheerful,joy,1
20280,cheerfulness,joy,1
20290,cheering,joy,1
20300,cheery,joy,1
20370,cherish,joy,1
